,Title,Available Globally?,Release Date,Hours Viewed
71,Designated Survivor: Season 1,Yes,2016-09-22,98.500.000
72,The Interest of Love: Limited Series // ___ __: ____ ___,Yes,2022-12-21,97.800.000
73,That '90s Show: Part 1,Yes,2023-01-19,95.100.000
74,You: Season 2,Yes,2019-12-26,95.000.000
75,All of Us Are Dead: Season 1 // __ __ ___: __ 1,Yes,2022-01-28,94.600.000
76,Black Knight: Season 1 // ____: __ 1,Yes,2023-05-12,94.300.000
77,Obsession: Limited Series,Yes,2023-04-13,94.200.000
78,Who Were We Running From?: Limited Series // Biz Kimden Kaõyorduk Anne?: Mini Dizi,Yes,2023-03-24,92.900.000
79,Hunger // _____ _________,Yes,2023-04-08,92.300.000
80,Alice in Borderland: Season 1 // ________: ____1,Yes,2020-12-10,92.200.000
81,Firefly Lane: Season 1,Yes,2021-02-03,91.200.000
82,Women at War: Limited Series // Les Combattantes: Mini-srie,Yes,2022-10-27,90.800.000
83,Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,90.200.000
84,Sweet Tooth: Season 1,Yes,2021-06-04,89.000.000
85,Murder Mystery,Yes,2019-06-14,87.900.000
86,Squid Game: Season 1 // ___ __: __ 1,Yes,2021-09-17,87.200.000
87,Little Angel: Volume 2,Yes,,86.200.000
88,Extraction,Yes,2020-04-24,86.100.000
89,Lady Voyeur: Limited Series // Olhar Indiscreto: Minissrie,Yes,2022-12-31,86.000.000
90,Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,85.400.000
91,The Law According to Lidia Pot: Season 1 // La legge di Lidia Pot: Stagione 1,Yes,2023-02-15,85.000.000
92,Florida Man: Limited Series,Yes,2023-04-13,84.600.000
93,Shahmaran: Season 1 // _ahmaran: Season 1,Yes,2023-01-20,83.600.000
94,The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,83.200.000
95,Selling Sunset: Season 6,Yes,2023-05-19,82.800.000
96,Suits (2011): Season 3,Yes,,82.500.000
97,Gilmore Girls: Season 1,Yes,,82.100.000
98,Sonic Prime: Season 1,Yes,2022-12-15,82.100.000
99,Roald Dahl's Matilda The Musical,Yes,2022-12-25,81.000.000
100,All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,80.000.000
101,Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,79.700.000
102,Chupa,Yes,2023-04-07,77.800.000
103,Stranger Things,Yes,2016-07-15,77.800.000
104,The Crown: Season 5,Yes,2022-11-09,76.300.000
105,Next in Fashion: Season 2,Yes,2023-03-03,75.700.000
106,Gilmore Girls: Season 2,Yes,,75.200.000
107,Treason: Limited Series,Yes,2022-12-26,74.300.000
108,Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,73.100.000
109,Rough Diamonds: Season 1,Yes,2023-04-21,72.800.000
110,Vincenzo: Season 1 // ___: __ 1,Yes,2021-02-20,72.800.000
111,The Witcher: Season 1,Yes,2019-12-20,72.200.000
112,Gabby's Dollhouse: Season 1,Yes,2021-01-05,71.600.000
113,Gilmore Girls: Season 3,Yes,,71.300.000
114,Red Rose: Season 1,Yes,2023-02-15,71.100.000
115,Fauda: Season 4 // _____: ____ 4,Yes,2023-01-20,71.000.000
116,Gilmore Girls: Season 5,Yes,,69.900.000
